,PassengerId,Survived,Name,Age,SibSp,Parch,Ticket,Fare,Cabin_no,Cabin_yes,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Age_scaled,Fare_scaled
14,15,0,"Vestrom, Miss. Hulda Amanda Adolfina",14,0,0,350406,7.8542,1,0,0,0,1,0,0,1,1,0,-1.14865596,-0.490279793
49,50,0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",18,1,0,349237,17.8,1,0,0,0,1,0,0,1,1,0,-0.855014742,-0.290024222
55,56,1,"Woolner, Mr. Hugh",44.06483036,0,0,19947,35.5,0,1,0,0,1,1,0,0,0,1,1.058412392,0.066359742
65,66,1,"Moubarek, Master. Gerios",17.09991595,1,1,2661,15.2458,1,0,1,0,0,0,0,1,0,1,-0.921090186,-0.34145224
68,69,1,"Andersson, Miss. Erna Alexandra",17,4,2,3101281,7.925,1,0,0,0,1,0,0,1,1,0,-0.928425046,-0.488854258
85,86,1,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",33,3,0,3101278,15.85,1,0,0,0,1,0,0,1,1,0,0.246139826,-0.329286862
113,114,0,"Jussila, Miss. Katriina",20,1,0,4136,9.825,1,0,0,0,1,0,0,1,1,0,-0.708194133,-0.450598352
140,141,0,"Boulos, Mrs. Joseph (Sultana)",25.34409583,0,2,2678,15.2458,1,0,1,0,0,0,0,1,1,0,-0.31588243,-0.34145224
204,205,1,"Cohen, Mr. Gurshon ""Gus""",18,0,0,A/5 3540,8.05,1,0,0,0,1,0,0,1,0,1,-0.855014742,-0.486337422
240,241,0,"Zabour, Miss. Thamine",20.80015413,1,0,2665,14.4542,1,0,1,0,0,0,0,1,1,0,-0.649454574,-0.357390858
251,252,0,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",29,1,1,347054,10.4625,0,1,0,0,1,0,0,1,1,0,-0.047501392,-0.437762489
261,262,1,"Asplund, Master. Edvin Rojj Felix",3,4,2,347077,31.3875,1,0,0,0,1,0,0,1,0,1,-1.95616931,-0.016444159
264,265,0,"Henry, Miss. Delia",35.2958243,0,0,382649,7.75,1,0,0,1,0,0,0,1,1,0,0.414676987,-0.492377828
267,268,1,"Persson, Mr. Ernst Ulrik",25,1,0,347083,7.775,1,0,0,0,1,0,0,1,0,1,-0.34114261,-0.491874461
271,272,1,"Tornquist, Mr. William Henry",25,0,0,LINE,0,1,0,0,0,1,0,0,1,0,1,-0.34114261,-0.648421654
279,280,1,"Abbott, Mrs. Stanton (Rosa Hunt)",35,1,1,C.A. 2673,20.25,1,0,0,0,1,0,0,1,1,0,0.392960435,-0.240694238
283,284,1,"Dorking, Mr. Edward Arthur",19,0,0,A/5. 10482,8.05,1,0,0,0,1,0,0,1,0,1,-0.781604437,-0.486337422
293,294,0,"Haas, Miss. Aloisia",24,0,0,349236,8.85,1,0,0,0,1,0,0,1,1,0,-0.414552915,-0.470229672
298,299,1,"Saalfeld, Mr. Adolphe",41.57487718,0,0,19988,30.5,0,1,0,0,1,1,0,0,0,1,0.875624171,-0.034313694
301,302,1,"McCoy, Mr. Bernard",23.31368333,2,0,367226,23.25,1,0,0,1,0,0,0,1,0,1,-0.46493563,-0.180290176
312,313,0,"Lahtinen, Mrs. William (Anna Sylfven)",26,1,1,250651,26,1,0,0,0,1,0,1,0,1,0,-0.267732305,-0.124919787
338,339,1,"Dahl, Mr. Karl Edwart",45,0,0,7598,8.05,1,0,0,0,1,0,0,1,0,1,1.127063481,-0.486337422
362,363,0,"Barbara, Mrs. (Catherine David)",45,0,1,2691,14.4542,1,0,1,0,0,0,0,1,1,0,1.127063481,-0.357390858
390,391,1,"Carter, Mr. William Ernest",36,1,2,113760,120,0,1,0,0,1,1,0,0,0,1,0.46637074,1.767740809
402,403,0,"Jussila, Miss. Mari Aina",21,1,0,4137,9.825,1,0,0,0,1,0,0,1,1,0,-0.634783828,-0.450598352
447,448,1,"Seward, Mr. Frederic Kimber",34,0,0,113794,26.55,1,0,0,0,1,1,0,0,0,1,0.319550131,-0.113845709
474,475,0,"Strandberg, Miss. Ida Sofia",22,0,0,7553,9.8375,1,0,0,0,1,0,0,1,1,0,-0.561373524,-0.450346668
483,484,1,"Turkula, Mrs. (Hedwig)",63,0,0,4134,9.5875,1,0,0,0,1,0,0,1,1,0,2.448448962,-0.45538034
489,490,1,"Coutts, Master. Eden Leslie ""Neville""",9,1,1,C.A. 37671,15.9,1,0,0,0,1,0,0,1,0,1,-1.515707482,-0.328280127
501,502,0,"Canavan, Miss. Mary",21,0,0,364846,7.75,1,0,0,1,0,0,0,1,1,0,-0.634783828,-0.492377828
503,504,0,"Laitinen, Miss. Kristina Sofia",37,0,0,4135,9.5875,1,0,0,0,1,0,0,1,1,0,0.539781044,-0.45538034
505,506,0,"Penasco y Castellana, Mr. Victor de Satode",18,1,0,PC 17758,108.9,0,1,1,0,0,1,0,0,0,1,-0.855014742,1.544245781
564,565,0,"Meanwell, Miss. (Marion Ogden)",30.70572678,0,0,SOTON/O.Q. 392087,8.05,1,0,0,0,1,0,0,1,1,0,0.07771653,-0.486337422
567,568,0,"Palsson, Mrs. Nils (Alma Cornelia Berglund)",29,0,4,349909,21.075,1,0,0,0,1,0,0,1,1,0,-0.047501392,-0.224083121
570,571,1,"Harris, Mr. George",62,0,0,S.W./PP 752,10.5,1,0,0,0,1,0,1,0,0,1,2.375038657,-0.437007438
587,588,1,"Frolicher-Stehli, Mr. Maxmillian",60,1,1,13567,79.2,0,1,1,0,0,1,0,0,0,1,2.228218048,0.946245572
642,643,0,"Skoog, Miss. Margit Elizabeth",2,3,2,347088,27.9,1,0,0,0,1,0,0,1,1,0,-2.029579614,-0.086663881
643,644,1,"Foo, Mr. Choong",29.56889809,0,0,1601,56.4958,1,0,0,0,1,0,0,1,0,1,-0.00573841,0.489103607
647,648,1,"Simonius-Blumer, Col. Oberst Alfons",56,0,0,13213,35.5,0,1,1,0,0,1,0,0,0,1,1.93457683,0.066359742
654,655,0,"Hegarty, Miss. Hanora ""Nora""",18,0,0,365226,6.75,1,0,0,1,0,0,0,1,1,0,-0.855014742,-0.512512515
680,681,0,"Peters, Miss. Katie",23.47643239,0,0,330935,8.1375,1,0,0,1,0,0,0,1,1,0,-0.452988172,-0.484575637
712,713,1,"Taylor, Mr. Elmer Zebley",48,1,0,19996,52,0,1,0,0,1,1,0,0,0,1,1.347294394,0.39858208
740,741,1,"Hawksford, Mr. Walter James",38.42663175,0,0,16988,30,0,1,0,0,1,1,0,0,0,1,0.644510516,-0.044381038
762,763,1,"Barah, Mr. Hanna Assi",20,0,0,2663,7.2292,1,0,1,0,0,0,0,1,0,1,-0.708194133,-0.502863973
788,789,1,"Dean, Master. Bertram Vere",1,1,2,C.A. 2315,20.575,1,0,0,0,1,0,0,1,0,1,-2.102989919,-0.234150465
803,804,1,"Thomas, Master. Assad Alexander",0.42,0,1,2625,8.5167,1,0,1,0,0,0,0,1,0,1,-2.145567895,-0.476940563
838,839,1,"Chip, Mr. Chang",32,0,0,1601,56.4958,1,0,0,0,1,0,0,1,0,1,0.172729522,0.489103607
839,840,1,"Marechal, Mr. Pierre",50.83987989,0,0,11774,29.7,0,1,1,0,0,1,0,0,0,1,1.555770842,-0.050421444
852,853,0,"Boulos, Miss. Nourelain",9,1,1,2678,15.2458,1,0,1,0,0,0,0,1,1,0,-1.515707482,-0.34145224
882,883,0,"Dahlberg, Miss. Gerda Ulrika",22,0,0,7552,10.5167,1,0,0,0,1,0,0,1,1,0,-0.561373524,-0.436671189
