,PassengerId,Survived,Name,Age,SibSp,Parch,Ticket,Fare,Cabin_no,Cabin_yes,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Age_scaled,Fare_scaled,TheOld,TheYoung,Child,Mother,Family_size,Cabin
0,1,0,"Braund, Mr. Owen Harris",22,1,0,A/5 21171,7.25,1,0,0,0,1,0,0,1,0,1,-0.561373524,-0.502445171,0,1,0,0,1,
1,2,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",38,1,0,PC 17599,71.2833,0,1,1,0,0,1,0,0,1,0,0.613191349,0.786845294,0,1,0,0,1,C85
2,3,1,"Heikkinen, Miss. Laina",26,0,0,STON/O2. 3101282,7.925,1,0,0,0,1,0,0,1,1,0,-0.267732305,-0.488854258,0,1,0,0,0,
3,4,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35,1,0,113803,53.1,0,1,0,0,1,1,0,0,1,0,0.392960435,0.420730236,0,1,0,0,1,C123
4,5,0,"Allen, Mr. William Henry",35,0,0,373450,8.05,1,0,0,0,1,0,0,1,0,1,0.392960435,-0.486337422,0,1,0,0,0,
5,6,0,"Moran, Mr. James",23.83895259,0,0,330877,8.4583,1,0,0,1,0,0,0,1,0,1,-0.426375454,-0.478116429,0,1,0,0,0,
6,7,0,"McCarthy, Mr. Timothy J",54,0,0,17463,51.8625,0,1,0,0,1,1,0,0,0,1,1.787756221,0.395813561,1,0,0,0,0,E46
7,8,0,"Palsson, Master. Gosta Leonard",2,3,1,349909,21.075,1,0,0,0,1,0,0,1,0,1,-2.029579614,-0.224083121,0,0,1,0,4,
8,9,1,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",27,0,2,347742,11.1333,1,0,0,0,1,0,0,1,1,0,-0.194322001,-0.424256141,0,1,0,1,2,
9,10,1,"Nasser, Mrs. Nicholas (Adele Achem)",14,1,0,237736,30.0708,1,0,1,0,0,0,1,0,1,0,-1.14865596,-0.042955502,0,1,0,0,1,
10,11,1,"Sandstrom, Miss. Marguerite Rut",4,1,1,PP 9549,16.7,0,1,0,0,1,0,0,1,1,0,-1.882759005,-0.312172378,0,0,1,0,2,G6
11,12,1,"Bonnell, Miss. Elizabeth",58,0,0,113783,26.55,0,1,0,0,1,1,0,0,1,0,2.081397439,-0.113845709,1,0,0,0,0,C103
12,13,0,"Saundercock, Mr. William Henry",20,0,0,A/5. 2151,8.05,1,0,0,0,1,0,0,1,0,1,-0.708194133,-0.486337422,0,1,0,0,0,
13,14,0,"Andersson, Mr. Anders Johan",39,1,5,347082,31.275,1,0,0,0,1,0,0,1,0,1,0.686601653,-0.018709312,0,1,0,0,6,
14,15,0,"Vestrom, Miss. Hulda Amanda Adolfina",14,0,0,350406,7.8542,1,0,0,0,1,0,0,1,1,0,-1.14865596,-0.490279793,0,1,0,0,0,
15,16,1,"Hewlett, Mrs. (Mary D Kingcome) ",55,0,0,248706,16,1,0,0,0,1,0,1,0,1,0,1.861166526,-0.326266659,1,0,0,0,0,
16,17,0,"Rice, Master. Eugene",2,4,1,382652,29.125,1,0,0,1,0,0,0,1,0,1,-2.029579614,-0.061998889,0,0,1,0,5,
17,18,1,"Williams, Mr. Charles Eugene",32.06649305,0,0,244373,13,1,0,0,0,1,0,1,0,0,1,0.177610797,-0.38667072,0,1,0,0,0,
18,19,0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",31,1,0,345763,18,1,0,0,0,1,0,0,1,1,0,0.099319217,-0.285997284,0,1,0,0,1,
19,20,1,"Masselmani, Mrs. Fatima",29.51820514,0,0,2649,7.225,1,0,1,0,0,0,0,1,1,0,-0.009459795,-0.502948539,0,1,0,0,0,
20,21,0,"Fynney, Mr. Joseph J",35,0,0,239865,26,1,0,0,0,1,0,1,0,0,1,0.392960435,-0.124919787,0,1,0,0,0,
21,22,1,"Beesley, Mr. Lawrence",34,0,0,248698,13,0,1,0,0,1,0,1,0,0,1,0.319550131,-0.38667072,0,1,0,0,0,D56
22,23,1,"McGowan, Miss. Anna ""Annie""",15,0,0,330923,8.0292,1,0,0,1,0,0,0,1,1,0,-1.075245655,-0.486756223,0,1,0,0,0,
23,24,1,"Sloper, Mr. William Thompson",28,0,0,113788,35.5,0,1,0,0,1,1,0,0,0,1,-0.120911696,0.066359742,0,1,0,0,0,A6
24,25,0,"Palsson, Miss. Torborg Danira",8,3,1,349909,21.075,1,0,0,0,1,0,0,1,1,0,-1.589117787,-0.224083121,0,0,1,0,4,
25,26,1,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",38,1,5,347077,31.3875,1,0,0,0,1,0,0,1,1,0,0.613191349,-0.016444159,0,1,0,1,6,
26,27,0,"Emir, Mr. Farred Chehab",29.51820514,0,0,2631,7.225,1,0,1,0,0,0,0,1,0,1,-0.009459795,-0.502948539,0,1,0,0,0,
27,28,0,"Fortune, Mr. Charles Alexander",19,3,2,19950,263,0,1,0,0,1,1,0,0,0,1,-0.781604437,4.647001077,0,1,0,0,5,C23 C25 C27
28,29,1,"O'Dwyer, Miss. Ellen ""Nellie""",22.38011324,0,0,330959,7.8792,1,0,0,1,0,0,0,1,1,0,-0.533469295,-0.489776426,0,1,0,0,0,
29,30,0,"Todoroff, Mr. Lalio",27.94720616,0,0,349216,7.8958,1,0,0,0,1,0,0,1,0,1,-0.124787308,-0.48944219,0,1,0,0,0,
30,31,0,"Uruchurtu, Don. Manuel E",40,0,0,PC 17601,27.7208,1,0,1,0,0,1,0,0,0,1,0.760011958,-0.090272017,0,1,0,0,0,
31,32,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",36.10804822,1,0,PC 17569,146.5208,0,1,1,0,0,1,0,0,1,0,0.474302593,2.301728821,0,1,0,0,1,B78
32,33,1,"Glynn, Miss. Mary Agatha",35.2958243,0,0,335677,7.75,1,0,0,1,0,0,0,1,1,0,0.414676987,-0.492377828,0,1,0,0,0,
33,34,0,"Wheadon, Mr. Edward H",66,0,0,C.A. 24579,10.5,1,0,0,0,1,0,1,0,0,1,2.668679876,-0.437007438,1,0,0,0,0,
34,35,0,"Meyer, Mr. Edgar Joseph",28,1,0,PC 17604,82.1708,1,0,1,0,0,1,0,0,0,1,-0.120911696,1.0060617,0,1,0,0,1,
35,36,0,"Holverson, Mr. Alexander Oskar",42,1,0,113789,52,1,0,0,0,1,1,0,0,0,1,0.906832567,0.39858208,0,1,0,0,1,
36,37,1,"Mamee, Mr. Hanna",22.87630686,0,0,2677,7.2292,1,0,1,0,0,0,0,1,0,1,-0.49704357,-0.502863973,0,1,0,0,0,
37,38,0,"Cann, Mr. Ernest Charles",21,0,0,A./5. 2152,8.05,1,0,0,0,1,0,0,1,0,1,-0.634783828,-0.486337422,0,1,0,0,0,
38,39,0,"Vander Planke, Miss. Augusta Maria",18,2,0,345764,18,1,0,0,0,1,0,0,1,1,0,-0.855014742,-0.285997284,0,1,0,0,2,
39,40,1,"Nicola-Yarred, Miss. Jamila",14,1,0,2651,11.2417,1,0,1,0,0,0,0,1,1,0,-1.14865596,-0.422073541,0,1,0,0,1,
40,41,0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",40,1,0,7546,9.475,1,0,0,0,1,0,0,1,1,0,0.760011958,-0.457645492,0,1,0,0,1,
41,42,0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",27,1,0,11668,21,1,0,0,0,1,0,1,0,1,0,-0.194322001,-0.225593223,0,1,0,0,1,
42,43,0,"Kraeff, Mr. Theodor",27.94720616,0,0,349253,7.8958,1,0,1,0,0,0,0,1,0,1,-0.124787308,-0.48944219,0,1,0,0,0,
43,44,1,"Laroche, Miss. Simonne Marie Anne Andree",3,1,2,SC/Paris 2123,41.5792,1,0,1,0,0,0,1,0,1,0,-1.95616931,0.188762532,0,0,1,0,3,
44,45,1,"Devaney, Miss. Margaret Delia",19,0,0,330958,7.8792,1,0,0,1,0,0,0,1,1,0,-0.781604437,-0.489776426,0,1,0,0,0,
45,46,0,"Rogers, Mr. William John",30.70572678,0,0,S.C./A.4. 23567,8.05,1,0,0,0,1,0,0,1,0,1,0.07771653,-0.486337422,0,1,0,0,0,
46,47,0,"Lennon, Mr. Denis",33.12898535,1,0,370371,15.5,1,0,0,1,0,0,0,1,0,1,0.25560868,-0.336334002,0,1,0,0,1,
47,48,1,"O'Driscoll, Miss. Bridget",35.2958243,0,0,14311,7.75,1,0,0,1,0,0,0,1,1,0,0.414676987,-0.492377828,0,1,0,0,0,
48,49,0,"Samaan, Mr. Youssef",23.45968333,2,0,2662,21.6792,1,0,1,0,0,0,0,1,0,1,-0.454217726,-0.211917743,0,1,0,0,2,
49,50,0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",18,1,0,349237,17.8,1,0,0,0,1,0,0,1,1,0,-0.855014742,-0.290024222,0,1,0,0,1,
50,51,0,"Panula, Master. Juha Niilo",7,4,1,3101295,39.6875,1,0,0,0,1,0,0,1,0,1,-1.662528092,0.150673744,0,0,1,0,5,
51,52,0,"Nosworthy, Mr. Richard Cater",21,0,0,A/4. 39886,7.8,1,0,0,0,1,0,0,1,0,1,-0.634783828,-0.491371093,0,1,0,0,0,
